Year,Quarter,Turnover
1982,Q3,13423.2
1982,Q4,13128.8
1983,Q1,15398.8
1983,Q2,12964.2
1983,Q3,13133.5
1983,Q4,13271.7
1984,Q1,15596.3
1984,Q2,13018
1984,Q3,13409.3
1984,Q4,13304.2
1985,Q1,15873.9
1985,Q2,13366.5
1985,Q3,13998.6
1985,Q4,14045.1
1986,Q1,16650.3
1986,Q2,13598.4
1986,Q3,14183.2
1986,Q4,14128.5
1987,Q1,16380.7
1987,Q2,13512.8
1987,Q3,14022.1
1987,Q4,14231.8
1988,Q1,16737
1988,Q2,14004.5
1988,Q3,14165.5
1988,Q4,14203.9
1989,Q1,16895.1
1989,Q2,14248.2
1989,Q3,14719.5
1989,Q4,14855.8
1990,Q1,17361.6
1990,Q2,14585.2
1990,Q3,14873.5
1990,Q4,14798.4
1991,Q1,17115.2
1991,Q2,14284.9
1991,Q3,14558.8
1991,Q4,14914.3
1992,Q1,17342.3
